,CashbackAmount,Tenure,CityTier,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,PreferredPaymentMode,PreferedOrderCat,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
1420,144.24,4.0,1,14.0,3,1,2,0,8.0,4,2,1,0,0,0,1
1344,144.04,7.0,1,14.0,1,3,3,0,2.0,3,2,0,1,0,1,0
4055,135.91,1.0,3,31.0,2,5,3,0,1.0,1,4,0,1,0,0,1
588,122.69999999999999,0.0,1,6.0,3,2,4,0,2.0,0,3,1,0,0,1,0
4539,291.59,29.0,1,9.0,4,1,4,1,3.0,4,1,1,0,0,0,1
2372,132.94,7.0,1,7.0,4,4,6,0,2.0,4,3,1,0,0,1,0
1102,134.77,4.0,1,8.0,3,3,2,0,3.0,4,3,0,1,0,1,0
204,283.0,20.0,1,11.0,3,3,5,0,1.0,4,5,0,1,1,0,0
4508,284.92,16.0,1,30.0,4,1,4,0,1.0,4,1,1,0,0,0,1
3148,234.32,14.0,3,35.0,6,5,5,0,2.0,6,0,0,1,0,1,0
1508,194.39,30.0,1,30.0,1,1,4,1,4.0,4,0,0,1,0,1,0
726,299.43,29.0,1,10.0,3,5,5,0,2.0,2,5,1,0,0,1,0
4451,169.85,10.0,1,10.0,4,4,6,0,8.0,1,2,0,1,0,0,1
838,168.93,11.0,3,8.0,3,5,4,0,7.0,4,2,1,0,0,1,0
3563,152.41,10.0,1,13.0,6,3,3,0,8.0,4,4,0,1,0,1,0
3856,277.02,22.0,1,11.0,5,1,4,0,3.0,3,1,0,1,0,1,0
4796,145.22,1.0,1,32.0,4,4,3,1,9.0,4,4,1,0,0,1,0
4178,279.27,27.0,3,9.0,5,1,4,0,8.0,4,1,1,0,0,1,0
2928,164.31,6.0,3,11.0,4,4,4,0,3.0,4,4,1,0,1,0,0
5230,173.98,2.0,3,14.0,4,5,2,0,4.0,4,2,0,1,0,0,1
2365,134.2,20.0,1,7.0,3,1,8,0,2.0,1,3,0,1,0,1,0
2268,144.9,7.0,2,17.0,4,4,5,0,8.0,4,2,0,1,0,1,0
2273,179.78,7.0,1,21.0,3,1,2,0,5.0,3,0,1,0,0,1,0
338,123.4,0.0,1,14.0,5,2,2,1,0.0,1,3,0,1,0,0,1
4650,151.19,12.0,1,7.0,4,5,5,0,1.0,4,4,1,0,0,0,1
5426,147.89,15.0,1,16.0,4,5,3,0,5.0,4,4,0,1,0,1,0
1766,125.46000000000001,0.0,1,14.0,4,4,6,0,1.0,1,3,1,0,0,1,0
3679,154.96,11.0,1,11.0,4,3,9,1,4.0,4,4,0,1,1,0,0
5475,194.62,10.0,1,9.0,4,4,6,1,1.0,6,2,1,0,0,1,0
2433,148.41,15.0,1,8.0,4,4,5,0,0.0,3,4,0,1,0,1,0
353,120.96000000000001,0.0,3,19.0,3,3,2,0,6.0,0,3,0,1,1,0,0
5540,180.61,9.0,3,25.0,4,5,2,0,5.0,3,2,0,1,0,1,0
3368,147.59,22.0,1,27.0,4,3,6,0,1.0,3,4,0,1,1,0,0
35,123.22999999999999,0.0,1,14.0,3,2,2,0,2.0,0,3,0,1,1,0,0
3059,151.57,5.0,1,16.0,5,4,2,1,3.0,4,4,0,1,0,0,1
3670,152.85,1.0,3,9.0,5,2,9,0,1.0,4,4,1,0,0,0,1
4761,175.94,14.0,1,23.0,5,3,8,0,1.0,3,2,0,1,0,0,1
